id,code,name,active,status,model_node_name,glb_node_name,old_x,old_z,current_x,current_z,delta
75a93b7d-52ec-11f1-a7fc-d843ae05cb18,1007,AULA 1007,false,missing-node,Edificio 3D 1.007,,,,,,
75a93e30-52ec-11f1-a7fc-d843ae05cb18,1008,AULA 1008,false,missing-node,Edificio 3D 1.008,,,,,,
75a940da-52ec-11f1-a7fc-d843ae05cb18,1009,AULA 1009,false,missing-node,Edificio 3D 1.009,,,,,,
7ede66d9-6436-11f1-9da2-d843ae05cb18,A,EDIF. A,true,matched,Edificio_A,Edificio_A,-147.5869,-58.058,-57.6729,-86.4886,94.3018
75a95e64-52ec-11f1-a7fc-d843ae05cb18,ASE,ASESORÍAS,true,matched,Asesorias,Asesorias,12,-4,100.4604,-112.8155,140.2357
7ede6894-6436-11f1-9da2-d843ae05cb18,AUD-ING,AUDIOVISUAL DE ING.- BAÑOS,true,matched,Audiovisual_de_Ingeneria,Audiovisual_de_Ingeneria,-168.4785,-40.3551,-81.3508,-83.443,97.1998
a374c9d7-3f3a-11f1-b497-d843ae05cb18,AUD-LIC,AUDIOVISUAL DE LICENCIATURA,true,matched,Audiovisual_de_Lic,Audiovisual_de_Lic,-47.0252,142.6178,-62.1717,91.2728,53.5325
75a96085-52ec-11f1-a7fc-d843ae05cb18,AUD-POS,AUDIOVISUAL DE POSGRADO,true,matched,Matria_Docencia_Sala_Educacion_distancia,Matria_Docencia_Sala_Educacion_distancia,-88.5102,-85.5915,-0.969,-87.6481,87.5654
7ede6929-6436-11f1-9da2-d843ae05cb18,AUL-AC,AULAS AC,true,matched,Aula_AC,Aula_AC,-38.1821,-130.671,68.4692,-42.3353,138.4836
7ede697e-6436-11f1-9da2-d843ae05cb18,AUL-DOC,AULAS DE DOCTORADO,true,matched,Aulas_Cubiculos_de_Doctorado,Aulas_Cubiculos_de_Doctorado,30.2059,-127.1841,92.0937,-68.6609,85.1767
c0b580af-6687-11f1-9d41-d843ae05cb18,AUL-P,AULAS P,true,matched,Aula_P,Aula_P,96.394,-29.0863,95.4357,25.1444,54.2392
a374ca59-3f3a-11f1-b497-d843ae05cb18,AUL-S,EDIF. S,true,matched,Edificio_S,Edificio_S,63.6454,162.0398,1.7978,140.1738,65.5991
75a9394c-52ec-11f1-a7fc-d843ae05cb18,B,EDIF. B,true,matched,Edificio_B,Edificio_B,-52,-48,-0.2882,-48.1009,51.7119
ee10ec94-74b0-11f1-8da2-d843ae05cb18,BOD1,BODEGA 1,false,matched,Bodega_1,Bodega_1,,,109.8102,-10.6058,
ee11c0dd-74b0-11f1-8da2-d843ae05cb18,BOD2,BODEGA 2,false,matched,Bodega_2,Bodega_2,,,105.3231,-0.4078,
75a93569-52ec-11f1-a7fc-d843ae05cb18,C,EDIF. C,true,matched,Edificio_C,Edificio_C,-58,-14,-16.3646,-32.9542,45.7468
a374ca07-3f3a-11f1-b497-d843ae05cb18,CAF,CAFETERÍA,true,matched,Cafeteria,Cafeteria,23.6417,63.3715,7.5663,57.906,16.9791
7ede6c61-6436-11f1-9da2-d843ae05cb18,CAL,CALDERA,true,matched,Caldera,Caldera,-38.1821,-130.671,46.429,-92.8671,92.6724
7ede6d43-6436-11f1-9da2-d843ae05cb18,CB,CIENCIAS BÁSICAS - BAÑOS,true,matched,Depto_Ciencias_Basicas,Depto_Ciencias_Basicas,-32.0686,103.747,-39.9973,65.9275,38.6417
a374c93e-3f3a-11f1-b497-d843ae05cb18,CC,CENTRO DE CÓMPUTO,true,matched,Centro_computo_Sistemas_Computacionales,Centro_computo_Sistemas_Computacionales,0.7661,-126.9385,63.2534,-81.7292,77.1268
7ede6e23-6436-11f1-9da2-d843ae05cb18,CEA,DPTO. CIENCIAS ECON.- ADMVAS.,true,matched,Depto_ciencias_Economico_Admin,Depto_ciencias_Economico_Admin,-27.0091,172.1009,-57.9878,114.851,65.094
a374c922-3f3a-11f1-b497-d843ae05cb18,Centro,CENTRO DE INFORMACIÓN (BIBLIOTECA),true,matched,Centro_informacion,Centro_informacion,16.3803,12.3014,20.0716,20.5676,9.0529
ee0ff11d-74b0-11f1-8da2-d843ae05cb18,CI,CENTRO DE INFORMACI??N,false,matched,Centro_informacion,Centro_informacion,,,20.0716,20.5676,
7ede6e81-6436-11f1-9da2-d843ae05cb18,CONACYT,CONACYT,true,matched,Edificio_Conacyt,Edificio_Conacyt,-183.5494,-89.9616,-66.0583,-123.0124,122.0513
7ede6ed0-6436-11f1-9da2-d843ae05cb18,COPIAS,COPIAS,false,matched,Lab_Microscopia_Sala_Titulacion_Aula_Dibujo,Lab_Microscopia_Sala_Titulacion_Aula_Dibujo,-107.8888,-37.3687,-34.0998,-58.4886,76.752
7ede6f19-6436-11f1-9da2-d843ae05cb18,CTIER,DPTO. CIENCIAS DE LA TIERRA,true,matched,Depto_Ciencias_la_tierra,Depto_Ciencias_la_tierra,6.5388,-61.1999,44.5914,-34.4464,46.5161
75a95a0a-52ec-11f1-a7fc-d843ae05cb18,CUB-DOC,Cubículos Doctorado,true,matched,Aulas_Cubiculos_de_Doctorado,Aulas_Cubiculos_de_Doctorado,30.2059,-127.1841,92.0937,-68.6609,85.1767
7ede705d-6436-11f1-9da2-d843ae05cb18,CUB-MAE,CUBÍCULO DE MAESTROS,true,matched,Cubiculos_Maestros,Cubiculos_Maestros,-35.2104,18.0883,-7.5412,7.8105,29.5164
7ede70bc-6436-11f1-9da2-d843ae05cb18,D,EDIF. D,false,missing-node,Aulas D ,,,,,,
7ede7106-6436-11f1-9da2-d843ae05cb18,DA,DESARROLLO ACADÉMICO,true,matched,Depto_desarrollo_academico,Depto_desarrollo_academico,-134.3633,-2.2849,-69.2501,-46.867,78.9132
75a95c2e-52ec-11f1-a7fc-d843ae05cb18,DEL,DPTO. ING. ELECTRÓNICA,true,matched,Edif y Depto de Ing. Electronica,Edif y Depto de Ing. Electronica,54,-50,88.3022,-32.9104,38.3236
7ede7187-6436-11f1-9da2-d843ae05cb18,DEPI,D.E.P.I.,true,matched,D.P.I,D.P.I,71.8895,-114.9923,117.0276,-45.5772,82.8004
7ede71d4-6436-11f1-9da2-d843ae05cb18,DIE,DPTO. DE ING. ELÉCTRICA,true,matched,Depto_Ing_Electrica,Depto_Ing_Electrica,-120.004,-96.8323,-23.2238,-100.961,96.8682
a374c8c9-3f3a-11f1-b497-d843ae05cb18,DIR,DIRECCIÓN,true,matched,Depto_servico_escolares_Div_estudios_profecionales_Direccion,Depto_servico_escolares_Div_estudios_profecionales_Direccion,-86.2153,38.0304,-52.0612,0.0448,51.0824
75a95801-52ec-11f1-a7fc-d843ae05cb18,DQB,Depto. Química y Bioquímica,true,matched,Depto_Quimica_Bioquimica_Depto_Ing_Industrial,Depto_Quimica_Bioquimica_Depto_Ing_Industrial,26,-127,106.8369,-92.356,87.9478
7ede72a6-6436-11f1-9da2-d843ae05cb18,DQI-DII,DPTO. DE ING. QUÍMICA - DPTO. ING. INDUSTRIAL,true,matched,Depto_Quimica_Bioquimica_Depto_Ing_Industrial,Depto_Quimica_Bioquimica_Depto_Ing_Industrial,26,-127,106.8369,-92.356,87.9478
a374c992-3f3a-11f1-b497-d843ae05cb18,E,EDIF. E,true,matched,Edificio_E,Edificio_E,12.0946,95.3105,-3.2243,74.7988,25.6008
75a94357-52ec-11f1-a7fc-d843ae05cb18,ENIE,Aulas ENIE,false,matched,Aula_Ñ,Aula_Ñ,54,-107,116.7182,-75.4928,70.1874
7ede742d-6436-11f1-9da2-d843ae05cb18,EXTRA,EXTRAESCOLARES,true,matched,Extra_escolares,Extra_escolares,95.9161,-4.2166,93.8987,43.3742,47.6335
a374c9a4-3f3a-11f1-b497-d843ae05cb18,F,EDIF. F,true,matched,Edificio_F,Edificio_F,9.7073,118.4428,-17.3545,95.7133,35.3408
75a946e3-52ec-11f1-a7fc-d843ae05cb18,FQ,LAB. DE FÍSICO QUÍMICA,true,matched,Laboratorio_Fisico_Quimica,Laboratorio_Fisico_Quimica,-22,-18,16.2681,-18.1562,38.2684
